station_id,name,latitude,longitude,barrio,comuna
5493608e1abdc1677d458ad923074362,098 - BENITO JUAREZ,-34.6189273,-58.50517690000001,Monte Castro,10.0
cf5db55d16e7c03374fcafbbeea2d4db,303 - Huaura,-34.596849288941584,-58.45327985794868,Villa Crespo,15.0
025aed060954084d5516e7b999e1cd5f,172 - UBA EXACTAS,-34.5440410661106,-58.43907661639404,Belgrano,13.0
9a0a402497d3f07c524a092ce08bb215,399 - GARCIA DEL RIO,-34.5503,-58.477000000000004,Saavedra,12.0
c86fa6293c64c71ec939a482c93702f7,327 - IBERA,-34.55917978513255,-58.474031100000005,Coghlan,12.0
96fe0badb26230a14bcaac092e4d159b,067 - PARQUE SARMIENTO I,-34.555254,-58.494845000000005,Saavedra,12.0
2b5bdb1fcfb8f05eda00f7c583847c01,232 - Sucre y Martinez,-34.5703869,-58.4663122,Belgrano,13.0
06c53e2a7a85876f33e8200a70c37df2,350 - Plaza Irlanda,-34.613778,-58.458315,Caballito,6.0
64fdb15601784ec6140350d178ee90de,309 - UTN II,-34.66036165776025,-58.467638689384906,Villa Lugano,8.0
e4def0e49c14187656136fcbb2f22450,287 - Belaustegui,-34.616659000738366,-58.47770598650817,Villa Santa Rita,11.0
7b74ac498d7c257a159daa09c862dda2,042 - Skate Park Villa Luro,-34.6367055,-58.49528569999998,Villa Luro,10.0
cd3ce86ec0c3d1b71a747960c236c196,321 - EZEIZA,-34.575733,-58.50922800000001,Villa Pueyrredon,12.0
47dec9f860e64cb0e1a996c05277c978,222 - CLUB NAUTICO BUCHARDO,-34.53836046466281,-58.459921009786974,Nuñez,13.0
c6b43dc47f6a80262a3a9ee99a4d0ce8,111 - MACACHA GUEMES,-34.6054877,-58.3646858,,
5f19bc6cc0ef825236917eccfbab8590,124 - UGARTECHE,-34.58111437500588,-58.41262482341766,Palermo,14.0
1eb52d5a1ac8b2479d827c769a2a616c,014 - Pacifico,-34.577424,-58.426387,Palermo,14.0
3909c67341264f0389c7875a48898d48,155 - Parque José Evaristo Uriburu,-34.645082199430064,-58.41749173359584,Nueva Pompeya,4.0
120b05f3757cb364eaf7512ec014c34a,355 - GUARDIA NACIONAL,-34.64463279097436,-58.49709733502237,Mataderos,9.0
e48b4827b07a95c6c1a371a77a503e72,096 - Carlos Gardel,-34.6027814,-58.4116586,Balvanera,3.0
